Sex,Race,Age,Grade,SexOrientation,SeatBealtUse,DrinkingDriver,DrivingDrinking,TextingDriving,WeaponCarrying,WeaponCarryingSchool,GunCarrying,UnsafeAtSchool,InjuredInSchool,PhysicalFight,SchoolPhysicalFight,SexualAbuse,TimesSexualAbuse,SexualAbuseByPartner,Bullying,CyberBullying,SmokingCigarette,AgeFirstCig,DaysSmokingCigarette,CigPerDay,Vaping,DaysVaping,SourceVaping,DaysSmokelessTobacco,DaysSmokingCigar,AgeFirstAlcohol,DaysAlcohol,BingeDrinking,LargestNumberOfDrinks,SourceAlcohol,TimesMarihuanaUseLife,AgeFirstMarihuana,TimesMarihuanaUse30Days,TimesSyntheticMarihuanaUseLife,PainMedicine,TimesCocaine,TimesInhalant,TimesHeroin,TimesMetha,TimesEcstasy,TimesSteroids,TimesNeedle,OfferedDrugsSchool,HallucinogenicDrugs,MarihuanaUse
Female,White,16,10,Heterosexual,Always,1,2,2,1,1,1,1,1,1,1,0,1,2,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Male,White,16,10,Heterosexual,Always,1,2,2,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Female,White,16,10,Heterosexual,Most of the Times,1,2,3,1,1,1,1,1,1,1,0,1,2,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,Multiple-Hispanic,16,10,Heterosexual,Always,1,1,1,1,1,1,1,1,1,1,0,1,2,0,0,1,6,1,1,1,1,1,1,1,6,2,2,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Male,White,18,12,Heterosexual,Most of the Times,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,7,1,1,1,7,2,1,2,6,2,1,2,6,7,6,3,1,1,1,1,1,1,1,1,1,1,1,1
Male,Am Indian/Alaska Native,15,9,Heterosexual,Most of the Times,1,1,1,5,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,Black or African American,15,10,Heterosexual,Most of the Times,1,4,2,1,1,1,1,1,1,1,0,1,1,0,1,1,5,1,1,1,5,6,1,1,5,3,4,5,8,2,6,1,1,1,1,1,1,1,1,1,1,0,1,1
Female,White,15,10,Heterosexual,Most of the Times,2,2,2,3,1,1,1,1,8,1,0,1,1,0,0,1,5,1,1,0,1,1,1,1,3,4,1,3,7,3,5,1,1,6,1,1,1,1,1,1,1,0,1,1
Male,White,16,10,Heterosexual,Always,1,2,2,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,White,15,10,Heterosexual,Never,1,1,1,1,1,1,1,4,3,3,0,1,2,1,1,1,6,1,1,1,2,4,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,White,15,10,Heterosexual,Always,1,2,2,5,1,1,1,1,3,2,0,1,2,0,1,0,1,1,1,0,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,2,0
Male,White,15,10,Bisexual,Always,1,1,1,3,1,1,1,1,2,2,1,1,2,1,1,1,3,2,2,1,NA,NA,1,1,6,2,1,2,6,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1
Female,White,16,10,Bisexual,Always,1,2,2,3,1,1,1,1,1,1,0,4,5,1,0,1,4,1,1,1,1,1,1,1,4,2,1,2,8,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,Multiple-Hispanic,15,10,Heterosexual,Rarely,2,1,1,1,1,1,1,3,2,1,0,1,2,1,0,0,1,1,1,1,6,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Female,White,16,10,Heterosexual,Sometimes,1,2,2,1,1,1,1,1,1,1,0,3,4,0,0,1,3,1,1,1,3,5,1,1,2,1,1,1,1,2,5,1,1,6,1,2,1,1,1,1,1,0,1,1
Female,White,15,10,Not sure,Always,2,2,2,1,1,1,1,1,1,1,0,1,2,0,0,0,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Female,White,15,10,Heterosexual,Always,1,2,2,1,1,1,1,1,1,1,0,1,2,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,White,18,12,Heterosexual,Rarely,1,2,8,1,1,1,1,3,1,1,1,1,2,1,1,1,5,1,1,1,4,2,1,1,6,3,4,7,2,3,5,1,1,1,1,1,1,1,1,1,1,0,1,1
Male,White,18,12,Heterosexual,Always,1,2,4,1,1,1,1,1,2,2,0,1,2,0,0,0,1,1,1,1,4,2,1,1,6,4,2,7,7,2,6,1,1,1,1,1,1,1,1,1,1,0,1,1
Male,White,18,12,Heterosexual,Always,1,2,3,1,1,1,1,1,1,1,0,1,2,0,0,0,1,1,1,0,1,1,1,1,7,2,1,3,6,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,White,18,12,Heterosexual,Most of the Times,1,2,2,5,1,1,1,1,1,1,0,1,2,0,0,0,1,1,1,0,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,White,18,12,Heterosexual,Most of the Times,1,2,3,3,1,1,1,1,1,1,0,1,2,0,0,0,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,White,18,12,Heterosexual,Always,1,2,2,1,1,1,1,1,1,1,0,1,2,0,1,0,1,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Female,White,17,12,Heterosexual,Always,1,2,2,1,1,1,1,1,1,1,0,3,1,0,1,1,6,1,1,1,5,4,1,1,6,1,1,1,1,7,6,6,1,1,1,1,1,1,1,1,1,1,1,1
Female,White,16,10,Heterosexual,Always,1,2,2,1,1,1,1,1,1,1,0,1,2,0,0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Female,White,17,12,Bisexual,Always,1,1,1,1,1,1,1,1,2,1,0,1,2,0,0,0,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,0,1,0
Male,White,15,10,Heterosexual,Always,1,2,2,3,1,1,1,1,2,1,0,1,1,0,0,1,4,NA,NA,1,6,6,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,White,17,12,Heterosexual,Most of the Times,1,2,4,1,1,1,4,1,3,1,0,1,2,0,0,1,4,1,1,1,1,1,1,1,5,1,1,1,1,7,5,3,1,1,3,1,1,1,1,1,1,0,3,1
Male,White,17,12,Heterosexual,Always,1,2,2,1,1,1,1,1,1,1,0,1,2,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,White,17,12,Heterosexual,Most of the Times,3,1,1,1,1,1,1,1,1,1,0,1,2,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Female,White,17,12,Gay or Lesbian,Most of the Times,1,2,3,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Female,White,18,12,Heterosexual,Most of the Times,1,2,5,1,1,1,1,1,1,1,0,1,2,0,0,0,1,1,1,1,2,5,1,1,7,2,2,5,6,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,White,18,12,Heterosexual,Rarely,1,2,6,1,1,3,1,1,2,1,0,1,2,0,0,1,7,1,1,1,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,White,15,9,Heterosexual,Always,1,1,1,1,1,1,1,1,1,1,0,1,2,0,0,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Female,White,15,9,Bisexual,Rarely,1,1,1,5,1,1,1,3,1,1,1,1,2,1,0,1,5,5,4,1,6,8,1,2,2,4,2,5,6,3,5,1,1,6,1,5,1,1,1,1,1,1,1,1
Female,Multiple-Non-Hispanic,14,9,Heterosexual,Most of the Times,2,1,1,5,1,5,1,1,1,1,0,1,1,0,0,1,3,1,1,0,1,1,2,1,2,3,1,2,6,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,White,15,9,Heterosexual,Sometimes,1,1,1,4,1,1,1,2,2,2,0,1,2,0,0,1,5,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Female,White,15,9,Heterosexual,Always,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,NA,15,9,Heterosexual,Sometimes,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,White,15,9,Heterosexual,Most of the Times,1,2,4,1,1,1,1,1,1,1,0,NA,NA,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,0
Female,White,14,9,Heterosexual,Most of the Times,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,0,1,0
Male,White,15,9,Heterosexual,Most of the Times,1,2,2,1,1,1,1,1,1,1,0,1,2,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Female,White,14,9,Heterosexual,Always,1,2,2,1,1,1,1,1,1,1,0,1,2,1,1,0,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Female,White,14,9,Heterosexual,Most of the Times,1,1,1,1,1,1,1,1,1,1,0,3,2,0,0,0,1,1,1,1,6,4,1,1,4,2,2,7,7,4,4,3,2,1,1,2,1,1,1,1,1,1,1,1
Male,White,15,9,Heterosexual,Always,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,White,15,9,Heterosexual,Most of the Times,1,2,2,3,1,1,1,1,1,1,0,1,2,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,0,1,0
Female,White,14,9,Not sure,Always,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,0,1,1,1,1,2,5,1,1,5,1,1,1,1,2,5,1,1,2,1,1,1,1,1,1,1,1,1,1
Female,White,16,9,Heterosexual,Sometimes,1,1,1,1,1,1,1,1,2,1,1,NA,2,0,0,1,3,3,2,1,7,8,1,1,5,1,1,1,1,7,5,1,4,1,1,1,1,1,1,1,1,0,1,1
Female,White,15,9,Heterosexual,Always,1,1,1,1,1,1,1,1,1,1,0,1,2,0,0,0,1,1,1,1,4,5,1,1,5,3,2,4,6,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Female,White,15,9,Heterosexual,Most of the Times,5,1,1,1,1,1,1,1,1,1,0,1,2,0,0,1,5,1,1,1,6,4,1,1,5,3,3,5,5,3,6,2,2,1,1,1,1,1,1,1,1,1,1,1
Female,White,14,9,Heterosexual,Most of the Times,1,1,1,1,1,1,1,1,1,1,0,1,2,0,0,0,1,1,1,1,5,4,1,1,3,2,3,4,7,2,5,1,1,1,1,1,1,1,1,1,1,0,1,1
Male,White,14,9,Not sure,Most of the Times,1,1,1,1,1,1,1,1,1,1,0,1,2,0,0,1,3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Male,White,15,9,Heterosexual,Always,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,Black or African American,15,9,Heterosexual,Most of the Times,1,2,2,1,1,1,2,1,1,1,0,1,2,0,0,0,1,1,1,0,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Female,White,14,9,Heterosexual,Most of the Times,3,2,2,1,1,1,2,1,1,1,0,2,3,NA,NA,1,5,2,2,1,6,4,1,1,4,4,4,6,5,2,5,1,2,1,1,1,1,1,1,1,1,0,1,1
Female,White,14,9,Heterosexual,Most of the Times,2,1,1,1,1,1,1,1,1,1,0,1,2,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,White,18,12,Heterosexual,Always,1,2,8,5,1,1,1,1,1,1,0,1,2,0,0,1,2,1,1,1,4,5,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Male,Multiple-Non-Hispanic,18,12,Heterosexual,Always,1,2,8,1,1,1,1,1,1,1,0,1,2,0,0,0,1,1,1,1,7,4,1,1,6,5,1,2,8,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Female,White,17,12,Heterosexual,Always,1,2,2,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,White,18,12,Heterosexual,Always,1,2,5,1,1,1,1,1,1,1,0,1,2,1,0,0,1,1,1,0,1,1,1,1,3,4,5,8,2,NA,NA,1,1,1,1,1,1,1,1,1,1,0,1,NA
Male,White,17,12,Heterosexual,Most of the Times,4,4,6,3,1,1,1,1,1,1,0,1,2,0,0,1,7,1,1,1,7,2,1,3,6,5,6,8,2,7,5,1,2,3,1,1,1,1,1,1,1,0,1,1
Male,White,18,12,Heterosexual,Most of the Times,1,2,7,1,1,1,1,1,1,1,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Male,Am Indian/Alaska Native,17,12,Heterosexual,Always,1,2,7,1,1,1,1,1,2,1,1,1,2,0,0,0,1,1,1,1,7,4,1,1,2,NA,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Female,White,17,12,Heterosexual,Always,1,1,1,1,1,1,1,1,1,1,0,1,2,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,White,17,12,Heterosexual,Always,2,2,8,4,1,3,1,2,8,1,0,1,2,0,1,1,5,1,1,1,1,1,1,1,6,2,3,6,5,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,White,18,12,Heterosexual,NA,1,2,4,1,1,3,1,1,1,1,0,1,2,0,0,0,1,1,1,1,7,2,3,3,6,6,6,7,8,7,7,4,1,1,1,1,1,1,1,1,1,1,1,1
Female,White,17,12,Bisexual,Always,1,2,7,1,1,1,1,1,1,1,1,2,2,1,1,1,6,1,1,1,7,5,1,1,5,3,4,5,5,6,5,2,1,1,1,1,1,1,1,1,1,0,3,1
Female,Multiple-Hispanic,17,12,Heterosexual,Always,3,2,8,1,1,1,1,1,1,1,0,5,6,0,0,1,4,1,1,1,7,4,1,1,5,3,2,4,7,7,4,6,2,3,2,1,1,1,1,1,1,1,2,1
Male,White,18,12,Heterosexual,Sometimes,1,NA,NA,1,1,1,1,1,1,1,0,1,NA,0,0,1,6,1,1,1,3,6,1,1,7,NA,NA,NA,NA,2,7,2,1,1,1,2,1,1,1,1,1,1,1,1
Male,White,18,12,Heterosexual,Never,1,2,8,1,1,1,1,1,1,1,0,1,1,0,0,1,6,1,1,1,7,2,1,5,6,1,1,1,1,7,6,6,1,1,1,1,1,1,1,1,1,0,1,1
Female,NA,17,12,Heterosexual,Always,3,3,8,1,1,1,1,1,1,1,0,1,2,0,1,0,1,1,1,1,2,6,1,1,6,4,1,2,6,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Female,White,18,12,Heterosexual,Always,2,2,3,1,1,1,1,1,1,1,0,1,2,0,0,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,0
Male,White,18,12,Heterosexual,Always,3,3,5,5,1,1,1,1,1,1,0,1,1,0,0,1,6,2,2,1,3,5,1,4,6,4,5,7,5,7,6,6,1,3,1,1,1,1,1,1,1,1,3,1
Male,White,17,12,Heterosexual,Always,1,2,2,5,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Female,White,17,12,Heterosexual,Always,1,2,2,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,Black or African American,18,12,Heterosexual,Most of the Times,1,2,2,2,1,1,1,1,3,1,0,1,2,1,1,1,5,1,1,1,6,5,1,2,6,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,0
Male,Multiple-Non-Hispanic,18,12,Heterosexual,Always,4,2,8,5,1,5,1,7,8,3,1,3,4,1,1,1,6,1,1,1,7,2,2,3,2,2,1,2,6,7,6,5,1,4,1,1,1,1,1,1,1,1,4,1
Male,White,17,12,Heterosexual,Always,4,3,8,NA,NA,1,1,1,1,1,0,1,2,0,0,1,6,2,2,1,6,2,1,1,6,4,5,5,2,7,6,4,1,4,2,1,1,1,6,1,1,1,5,1
Female,White,18,12,Bisexual,Always,1,1,1,1,1,1,1,1,1,1,0,1,2,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Female,White,18,12,Heterosexual,Always,1,2,2,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,Multiple-Non-Hispanic,16,10,Heterosexual,Always,1,2,2,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,0
Female,Black or African American,16,10,Heterosexual,Sometimes,1,1,1,1,1,1,2,1,1,1,0,1,1,0,0,0,1,1,1,1,5,5,1,1,5,2,1,2,8,5,6,3,1,1,1,2,1,1,1,1,1,0,1,1
Male,Black or African American,16,10,Heterosexual,Always,1,2,NA,1,1,1,NA,1,2,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,White,16,10,Heterosexual,Most of the Times,1,2,2,1,1,1,1,1,2,1,0,1,2,0,0,0,1,1,1,1,1,1,1,1,5,1,1,1,1,2,6,1,1,1,1,1,1,1,1,1,1,0,1,1
Female,Hispanic/Latino,15,10,Heterosexual,Sometimes,1,1,1,1,1,1,1,1,2,1,0,1,2,0,0,1,5,1,1,1,NA,NA,1,1,6,NA,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,Am Indian/Alaska Native,17,12,Gay or Lesbian,Never,1,2,3,NA,NA,1,2,3,4,1,0,3,4,1,0,1,2,3,3,1,2,3,4,1,3,4,5,6,7,NA,NA,NA,4,5,1,2,3,4,1,3,1,0,2,NA
Female,White,15,10,Heterosexual,Most of the Times,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Female,White,16,10,Heterosexual,Always,1,2,2,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Female,Multiple-Non-Hispanic,16,10,Heterosexual,Always,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Female,White,15,10,Bisexual,Most of the Times,1,1,1,1,1,1,1,1,1,1,0,1,2,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,Multiple-Non-Hispanic,16,10,Heterosexual,Always,1,NA,2,1,1,1,1,1,1,1,0,1,2,0,0,0,1,1,1,1,1,1,1,1,6,2,2,5,6,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,Multiple-Non-Hispanic,17,10,Heterosexual,Always,1,2,2,1,1,1,1,1,2,2,0,1,2,1,0,1,6,NA,NA,1,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,White,15,10,Heterosexual,Rarely,3,NA,NA,1,1,1,3,1,5,1,0,1,2,1,0,1,5,1,1,1,7,4,1,1,6,3,NA,NA,5,7,5,6,1,1,1,1,1,1,1,1,1,1,3,1
Female,White,16,10,Heterosexual,Always,1,2,2,1,1,1,1,1,1,1,0,NA,NA,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,0,1,0
Female,Multiple-Hispanic,15,10,Heterosexual,Sometimes,2,1,1,1,1,1,1,1,1,1,0,1,2,0,0,0,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Female,White,15,10,Heterosexual,Most of the Times,1,2,2,1,1,1,1,1,1,1,0,1,2,1,1,0,1,1,1,1,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Female,White,16,10,Heterosexual,Always,1,2,5,1,1,1,1,1,1,1,0,1,2,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,White,16,10,Heterosexual,Always,1,2,5,1,1,1,1,1,1,1,0,1,2,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Female,White,16,10,Heterosexual,Always,1,2,2,1,1,1,1,3,1,1,0,1,2,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,White,15,10,Gay or Lesbian,Always,1,1,1,1,1,1,1,3,1,1,0,1,2,0,0,0,1,1,1,1,3,6,1,1,2,1,1,1,1,2,6,2,1,1,1,1,1,1,3,1,1,1,3,1
Male,White,16,10,Heterosexual,Always,1,2,7,3,1,1,1,2,1,1,0,1,2,1,0,0,1,1,1,1,4,5,1,1,6,2,NA,NA,6,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Female,White,17,10,Gay or Lesbian,Always,1,NA,NA,1,1,1,1,1,1,1,0,1,2,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,Black or African American,15,10,Heterosexual,Always,1,2,2,1,1,3,1,1,4,3,0,1,2,0,0,1,6,3,3,1,2,5,1,3,1,1,1,1,1,5,5,3,1,1,1,1,1,1,1,1,1,0,1,1
Male,Hispanic/Latino,17,10,Heterosexual,Most of the Times,1,1,1,4,2,1,1,1,5,1,1,1,2,0,0,1,3,7,3,1,1,1,1,2,2,1,1,1,1,3,2,2,1,5,2,1,6,1,5,1,3,1,5,1
Female,White,16,10,Heterosexual,Always,1,2,4,1,1,1,1,1,1,1,0,1,2,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,Multiple-Hispanic,16,10,Heterosexual,Most of the Times,1,2,8,1,1,1,1,1,2,1,0,1,2,0,0,0,1,1,1,1,7,2,2,1,6,7,7,8,2,2,6,1,1,1,1,1,1,1,1,1,1,0,1,1
Female,Hispanic/Latino,17,10,Bisexual,Most of the Times,2,2,3,2,1,3,1,1,7,2,1,2,1,0,0,1,6,1,1,1,2,4,1,1,4,2,2,6,6,7,6,4,1,2,1,1,1,1,5,1,1,1,3,1
Female,Black or African American,15,10,Heterosexual,Always,1,2,2,1,1,1,1,1,1,1,0,1,2,0,0,0,1,1,1,1,2,5,1,1,6,NA,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Female,White,16,10,Heterosexual,Always,1,2,2,1,1,1,1,2,2,1,0,1,2,1,1,0,1,1,1,0,1,1,1,1,3,1,1,1,1,1,1,1,1,6,1,2,1,1,1,1,1,0,1,0
Female,White,15,10,Heterosexual,Most of the Times,1,2,3,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Male,White,16,11,Not sure,Most of the Times,1,2,2,1,1,1,1,1,1,1,0,1,2,0,0,0,1,1,1,1,5,5,1,1,6,1,1,1,1,7,5,4,1,1,1,1,1,1,1,1,1,0,3,1
Male,White,17,11,Heterosexual,Always,1,2,3,1,1,1,1,1,1,1,0,1,2,0,0,1,4,1,1,1,7,4,1,1,6,1,1,1,1,3,7,2,2,1,1,1,1,1,1,1,1,0,1,1
Female,White,17,11,Heterosexual,Most of the Times,1,2,6,1,1,1,1,1,1,1,0,1,2,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Female,Multiple-Non-Hispanic,17,11,Heterosexual,Always,1,2,3,1,1,1,1,1,1,1,0,1,2,0,0,0,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,Am Indian/Alaska Native,17,11,Heterosexual,Most of the Times,1,2,8,1,1,1,1,1,1,1,0,1,2,0,0,1,6,NA,NA,1,7,4,1,2,6,3,4,6,5,6,6,5,1,1,1,1,1,1,1,1,1,0,1,1
Female,White,16,11,Heterosexual,Always,1,2,2,1,1,1,1,1,1,1,0,1,2,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Male,White,17,11,Heterosexual,NA,1,3,6,1,1,1,1,1,1,1,0,1,2,0,0,1,7,1,1,1,7,4,2,1,6,4,4,7,5,6,6,1,1,1,1,1,1,1,1,1,1,0,1,1
Male,Asian,17,11,Heterosexual,Rarely,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Female,White,16,11,Heterosexual,Most of the Times,1,2,8,1,1,1,1,1,1,1,0,1,2,0,0,0,1,1,1,1,5,5,1,1,5,5,NA,NA,5,2,6,1,1,1,1,1,1,1,1,1,1,0,1,1
Male,White,16,11,Heterosexual,Most of the Times,1,2,8,1,1,1,1,1,2,2,0,1,2,0,0,0,1,1,1,1,2,8,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,0
Male,White,17,11,Heterosexual,Always,1,NA,NA,1,1,1,1,1,1,1,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
